Longitude;Latitude
-84.612936;34.0504
-84.64833;34.074582
-84.468098;34.087202
-84.215264;34.061727
-84.237083;34.059324
-84.090429;34.059851
-84.592808;34.061009
-84.589562;33.398368
-87.608524;33.236328
-84.291795;33.278165
-84.11615;33.353489
-85.382567;32.647506
-83.255523;33.10985
-86.802552;33.396446
-84.589054;33.390948
-86.843947;33.354125
-84.561861;33.361008
-86.690139;33.305871
-84.786024;33.383813
-86.761623;33.367433
-87.526193;33.185356
-85.444245;32.62567
-83.624123;32.593767
-84.176684;31.631804
-83.623693;32.576736
-86.231115;32.316958
-85.013881;32.495304
-84.94486;32.479435
-84.962052;32.50928
-83.652142;32.594047
-83.734136;32.459328
-84.035487;33.966726
-84.351278;33.993784
-83.718655;33.988242
-84.02369;33.967868
-84.42395;33.980226
-85.990883;33.99661
-84.142543;33.963479
-84.218947;33.975071
-84.300824;37.754642
-86.620274;36.304854
-87.472808;36.827987
-86.395083;36.979021
-86.688125;36.468521
-84.769183;37.61675
-86.49652;36.361286
-83.258944;36.223426
-84.570617;37.884779
-86.678437;36.468836
-86.042244;36.524968
-95.846366;36.281162
-93.237919;36.640988
-94.18696;36.317572
-93.111001;36.229516
-94.551699;36.17493
-94.769298;36.593019
-89.076261;36.413975
-88.31502;36.61769
-94.213053;36.356825
-94.161267;36.196513
-94.771824;36.588812
-93.107239;36.2345
-94.212937;36.356596
-94.50911;36.181064
-89.894602;35.205799
-89.727454;35.158322
-90.012622;35.136468
-89.794032;35.198309
-97.476618;35.219202
-89.8098;35.229591
-93.138376;35.279422
-90.010851;35.136231
-89.517739;35.228851
-97.484038;35.211125
-97.457771;35.218398
-89.99762;35.137493
-89.843092;35.204771
-97.117149;32.920351
-96.811403;32.928354
-96.517702;32.920563
-96.838281;32.921746
-97.254217;32.923952
-89.695205;35.046301
-89.866518;35.073756
-89.80596;35.091398
-97.672746;30.415779
-95.635756;30.396804
-97.745797;30.392326
-91.059242;30.414843
-97.671783;30.403084
-90.096133;30.401602
-90.054596;30.374327
-97.704001;30.399215
-97.731308;30.355284
-95.463531;30.312154
-97.737084;30.359207
